Month,Calendar Year,Fiscal Year,Withholding,Income Tax Estimates & Finals,Sales and Use,Business Use,Room Occupancy,Electric Generation,Business Entity,Corporation Business,Pass-Through Entity,Unrelated Business Income,"Cable, Satellite and Video",PEG Account,Electric & Power,Gas & Electric,Railroads,Estate & Gift,Insurance Premiums Domestic,Insurance Premiums Foreign,Health Care Centers,Nonadmitted / Unauthorized / Captive Insurers,Alcoholic Beverages,Cigarette Tax,Electronic Cigarette Products,Tobacco Products,Cannabis Tax,Controlling Interest Transfer,Real Estate Conveyance,Petroleum Gross Earnings,Admissions & Dues,Admissions & Dues and TNC Fee,Dry Cleaners,Occupational Tax,Rental Surcharge,Solid Waste,Tourism Surcharge,Controlled Substances,Prepaid Wireless E-9-1-1 Fee,Paid Preparer Fee,Repealed Taxes,Nursing Home User Fee,Hospitals,Intermediate Care Facility,Ambulatory Surgical Centers,Gasoline,Special Fuel,Motor Carrier,Highway Use Fee,Licenses,Beverage Container Deposits,Total Revenue
July,2012,FY 2012-13,,,,,,,594203.11,,,3040.75,,1467418,,,115300,10974840.47,2268.18,560044.48,0,-22919,,16035049.97,,1571154.3,,107534.03,,,3825039.63,,89677.78,52658.66,0,897466.46,446031.38,1063.16,,,250172.96,,,,,,,,,133298.28,,37103342.6
August,2012,FY 2012-13,320983013.78,26085541.63,279033328.38,3298341.42,8952223.14,751701,609883.81,14445296.04,,42417.58,3893921,-605647,0,0,0,19262821.09,3361.37,2109609.95,9173.04,735782.79,4653721.13,36904378.14,,1962282.17,,1714198.8,11129619.98,835632.82,3421536.36,,86127.58,126985.89,0,0,465313,2029.88,0,,240499.57,1329589.04,0,952163,,30545161.88,10372263.22,521909.09,,167614.66,13300.16,785055095.39
September,2012,FY 2012-13,342279423.63,354114929.9,199553462.79,2943201.46,7460694.04,0,1023033.5,78392824.91,,243642.54,0,0,0,0,0,4823426.75,10523201.8,26606329.14,1842690,170934.75,3667957.1,30827056.56,,1816464.05,,514062.96,10881800.5,35691.22,1378735.48,,7383.62,126557.05,0,0,456169.28,1800.15,0,,28975.86,762605.9,4237452,989781,,31141158.47,11114451.41,1889182.25,,355932.12,424535.59,1130635547.78
October,2012,FY 2012-13,396173305.33,100449016.49,394410985.33,5027594.57,10769147.1,17738839,563515.71,21269562.89,,49518.06,11756080,674961,48876920.43,8020006.14,0,12547186.51,-227173,1097041.25,0,209963.32,5638502.91,36138542.69,,1392370.34,,207739.79,9496000.86,88812892.37,2812681.43,,82541.79,90582.46,240,609120.87,424319.65,1363.73,0,,288138.32,25944826.92,78083147,1675917,,28989469.13,9855288.87,1910067.7,,172020,6001700.4,1328033944.36
November,2012,FY 2012-13,412725179.23,25131382.92,331434862.56,3387027.13,9958016.15,2256728,506456.01,17002711.62,,45721.96,1841680.78,177163,18116.07,47307.46,0,10961111.66,6488,892224.07,0,2949255.66,6029350.81,33333419.56,,1478890.1,,745769.98,12168806.09,2653432.54,2205006.5,,82880.04,69113.98,564.04,259016,435496.7,2131.26,0,,50472.93,10219539.07,4959973,1303739,,31654775.25,10751261.66,224345.1,,199139.64,191690.57,938360246.1
December,2012,FY 2012-13,483932688.03,303854998.11,305701671.47,3114099.44,9193536.7,34282,505011.63,112009790.7,,433151.34,74.67,0,20796.18,0,0,5515243.36,10533532.52,23879174.64,1842691,152654.08,5964971.37,32012659.89,,1177587.35,,542126,12271760.31,6179022.03,2638431.49,,6619.82,2693318.86,0,4974.23,379822.41,1666.89,0,,175371.96,491764.94,0,909959,,31242935.12,11278864.09,1881459.33,,239738.19,0,1370816449.15
January,2013,FY 2012-13,562214076.97,539681065.87,398925836.93,7787666.26,7228330.66,11420711,837662.35,15717008.98,,11292.43,13784869,717130,30649549.89,11755021,0,56350731.97,653332.45,3253485.02,0,830384,5041775.15,26736169.28,,1277987.03,,688221.51,14691230.39,93755027.13,3068799.42,,130154.51,5079402.21,3125,820372.63,421046.81,2103.27,0,,102799.82,32916614.87,79866332,1983236.38,,30484270.14,9591513.71,2017028.95,,173350.5,5923625.71,1976592341.2
February,2013,FY 2012-13,440403563.44,36620271.59,288828594.13,6578246.92,7098673.93,5917065,3385674.26,32366102.9,,9198.85,1696.81,112965,312589,0,0,6412764.54,3838157,14927362.88,588500,1621976.28,3655888.5,27057190.82,,1100250.26,,450511,7342228.52,1244212.67,4444871.52,,47242,387586.45,255442.99,40158.21,387607.52,5420.4,88700.96,,159602.53,5741975.45,7506837,928061,,28667340.87,10184849.66,584805.89,,131683,99415.21,949535284.96
March,2013,FY 2012-13,575586824.39,95818912.01,177105178.14,1920239.97,5756375.32,0,17931195.53,155963986.54,,472478.59,0,161,0,21992.5,0,60378715.4,14298021.26,43923850.57,8652548,90006.87,2760783.67,28005418.65,,1095889.24,,682508.24,6614323.68,472287.07,2372434.8,,3949.17,271732.86,152,0,330571,4413.53,127447.98,,196321.02,1563741.69,0,-8562410,,25412018.61,9171067.77,2381806.95,,150420.15,3181.31,1230978545.48
April,2013,FY 2012-13,392130970.22,1563130783.6,406703921.48,6538405.82,8570581.22,19773580,14145275.94,52553393.71,,66469.64,14192061.82,546437,44233173.12,24379603,0,224078103.23,-647015.85,2330550.98,1278184,72621.2,6708496.41,31615558.03,,1120661.07,,33600.74,10847929.27,88958556.16,4182114.37,,75112.94,192865.04,0,734991.65,418205.26,4316.74,162892.2,,1486073.71,28056776.79,86267459,1189120,,29723392.09,9795342.89,1499316.23,,160557.79,5707018.63,3083017457.14
May,2013,FY 2012-13,435380697.87,48896042.14,317450217.59,4372069.34,8723381.4,10233.98,3830240.75,20374939.83,,510091.15,-128495.92,325812.92,0,1148975.46,0,20330466.66,85316.26,1059905.91,0,2889269.17,4457934.38,32827134.61,,1136805.49,,585538.97,13207371.16,1952391.52,3516727.48,,72087.16,137095.82,267.01,51532,401863.72,4655.3,141659.01,,44661.99,8816976.98,106000,756956,,29240325.67,10528911.7,612865.17,,151220.75,362650.12,974372796.52
June Final,2013,FY 2012-13,863213398.39,401878667.59,700704972.91,11040933.63,20441074.48,8920000,702663.93,176954669.78,,219906.91,11097457.1,35984.93,33187000,11419000,20,7883228.36,12710565.96,40004494,6090977,19022.26,11826264.03,52554149.94,,1255796.66,,51002,38533447.66,90026749.61,2712092.03,,5286.19,125016.89,0,0,410268.7,4330.13,123509.78,,35783.76,34655820.73,86267000,1948680,,62178932.16,21957283.07,3881505.33,,146747.83,8801370.64,2724025074.37
July,2013,FY 2013-14,,,,,,,779126.45,,,10665.63,,723575,,,114202,9070724.95,94244.87,160485.33,0,278845.04,,15052010.65,,1112906.14,,54668.39,,,4310217.75,,105358.25,139820.57,0,856387.29,464511.58,2249.51,196493.73,,23090.24,,,,,,,,,134097,,33683680.37
